Activity,Working,Socializing,Watching TV,Sleeping,Playing Sports,Reading,,,,,,
2012,3.53,0.74,2.83,8.73,0.32,0.33,,,,,,
2013,3.46,0.72,2.77,8.74,0.3,0.32,,,,,,
2014,3.59,0.71,2.82,8.8,0.29,0.32,,,,,,
2015,3.53,0.68,2.78,8.83,0.3,0.32,,,,,,
2016,3.61,0.65,2.73,8.79,0.32,0.29,,,,,,
2017,3.59,0.65,2.77,8.8,0.28,0.28,,,,,,
2018,3.57,0.64,2.84,8.82,0.29,0.26,,,,,,
2019,3.61,0.64,2.81,8.84,0.31,0.27,,,,,,
2021,3.5,0.57,2.86,8.95,0.32,0.28,,,,,,
2022,3.5,0.56,2.79,9.02,0.29,0.26,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
